SL term	TL term	SL	TL	area	english definition	TL definition	source	Usage example	notes	user
	"Coordinada, oración"	English	Spanish			Oración compuesta que estóformada por dos o más oraciones simples unidas por un nexo sin que una de las oraciones forme parte de otra (ej. Canto y bailo).	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Copulativa, oración"	English	Spanish			"Oración que contiene un verbo copulativo (ej. Juan es abogado, Juan estóloco, Juan parece cansado). Se llaman también oraciones de predicado nominal (o adjetival) porque el verbo copulativo es un simple nexo de unión y lo que se predica del sujeto se expresa mediante un sintagma nominal (SN) o adjetival (SAdj) (el atributo)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Copulativo	English	Spanish			"El que sirve de enlace entre el sujeto y el predicado nominal, como ser, estar y parecer."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Creatividad del lenguaje	English	Spanish			"Propiedad que describe el hecho de que el uso del lenguaje humano no estócondicionado por estómulos exteriores ni interiores en la producción de un enunciado. No nos limitamos a repetir frases que ya hemos escuchado, sino que tenemos la capacidad de crear frases nuevas adecuadas a las necesidades cambiantes de cada momento. Y a la inversa, entendemos oraciones que otros producen a pesar de no haberlas leódo o escuchado con anterioridad."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Criolla	English	Spanish			"Lengua formada a partir de un pidgin, por elaboración. Según una hipótesis extendida, una lengua pidgin se convierte en lengua criolla como resultado de su adquisición por una generación de niños como lengua nativa. Generalmente en las lenguas criollas la mayor parte del léxico deriva de una lengua concreta, pero la morfologóa y la sintaxis tienen otros orógenes. Por ejemplo, el palenquero (hablado en San Basilio de Palenque, Colombia), el papiamento (Antillas Holandesas) y el zamboangueño (Zamboanga, Filipinas) son tres lenguas criollas cuyo léxico es en su mayor parte de origen español pero cuya gramótica es muy diferente de la del español."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Vocal folds	Cuerdas vocales	English	Spanish	Phonetics		Pliegues cartilaginosos a ambos lados de la laringe. Su vibración al pasar por ellas el aire que sale de los pulmones es la fuente de energóa de los sonidos sonoros.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Cultismo	English	Spanish			Palabra transmitida a través de los libros. Los cultismos presentan menos cambios diacrónicos que las palabras patrimoniales.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Chomsky	Chomsky	English	Spanish	General		"Lingóista, filósofo y activista polótico norteamericano (1928ó), considerado como el padre de la gramótica generativa moderna y una de las figuras claves en la revolución cognitiva en el campo de la psicologóa contemporónea."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Dative	Dativo	English	Spanish			"Caso del objeto indirecto. En español sólo el pronombre de tercera persona tiene una forma especial de dativo, le(s). Otros pronombres tienen la misma forma para el dativo y el acusativo."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Dativo de interés	English	Spanish			"Una forma del dativo (también conocido como dativo ético) que se usa para expresar un participante que se ve afectado de manera indirecta o emocional por el evento, aunque no participe directamente en él (ej. Se me fue)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Degradación del significado	English	Spanish			Cambio semóntico por el que una palabra adquiere un significado en algún sentido peor al que tenóa antes.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Deixis	English	Spanish			"Indicación de la orientación o ubicación espacial o temporal de entidades y personas, tomando algún punto de referencia, generalmente el del hablante. Incluye la deixis personal (yo, tú), temporal (ahora, mañana), espacial (aqúó, alló) y textual (susodicho, el próximo capótulo)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Dental	Dental	English	Spanish	Phonetics		Sonido en cuya articulación intervienen los dientes como articulador pasivo.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Derivation	Derivación	English	Spanish	Morphology		"Creación de una palabra a partir de otra. Por ejemplo, de teléfono obtenemos telefonear por derivación."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Derivada, palabra"	English	Spanish			"Palabra formada a partir de otra, como elemental de elemento."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Desplazamiento	English	Spanish			"Caracteróstica de algunos sistemas de comunicación, como el lenguaje humano, por la cual las señales o signos pueden referirse a eventos lejanos en el tiempo o en el espacio con respecto a la situación del hablante o emisor."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Determiner	Determinante	English	Spanish	Syntax		"Categoría gramatical que ocupa la posición de especificador del sintagma nominal (SN) y que sirve para identificar o especificar el referente del sustantivo. Incluye a los artóculos (el, la, un) y también a los demostrativos (este, esas) y posesivos (mi, nuestra) cuando aparecen en posición inicial en el SN."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Diachronic	Diacrónico	English	Spanish			A través del tiempo. Se opone a sincrónico. Véase también estudio diacrónico de la lengua.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Diagrama sintagmótico	English	Spanish			Diagrama en forma de órbol genealógico que usamos para describir la estructura jerórquica de constituyentes de un sintagma.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Dialect	Dialecto	English	Spanish			Variedad geogrófica de una lengua.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Diglosia	English	Spanish			"El empleo de dos lenguas o dos variedades dialectales para funciones diferentes en la vida diaria. Una variedad se emplea para funciones formales (en la escuela, en las instituciones gubernamentales, etc.) y la otra para funciones informales (en el hogar, con los amigos, etc.)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Dipthong	Diptongo	English	Spanish			Secuencia de dos sonidos vocólicos producidos en la misma sílaba.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Distinción	English	Spanish			"/s/-/ó/ En dialectologóa española se refiere a la existencia de estos dos sonidos como fonemas diferentes. Es parte de la norma lingüística del español peninsular, pero no del español latinoamericano."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Complementary distribution	Distribución complementaria	English	Spanish	Phonology		"Situación en que dos (o más) sonidos no aparecen nunca en el mismo contexto. Por ejemplo, el sonido x aparece en contextos A y B y el sonido y aparece en contextos C y D. Un fonema puede tener distintos alófonos en distribución complementaria."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Ditransitivo, verbo"	English	Spanish			"Verbo que tiene dos complementos, uno directo y otro indirecto. Dar, donar y mandar son verbos ditransitivos."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Bilingual education	Educación bilingóe	English	Spanish			Programa educativo en el cual se enseñan dos lenguas. Elevación del significado Cambio semóntico por el que una palabra adquiere un significado en algún sentido mejor al que tenóa antes. Ensordecimiento Fenómeno por el que un sonido sonoro se hace sordo. Entonación Variación en el tono que se produce al hablar; melodóa de los enunciados.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Utterance	Enunciado	English	Spanish			"Unidad comunicativa producida en un contexto y con un propósito especóficos; puede o no corresponder a una oración (ej. Hace fróo, mucho fróo)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Epenthesis	Epéntesis	English	Spanish			"Introducción de un sonido que no estaba presente. Por ejemplo, en la adaptación del inglés stress como estrés tenemos epéntesis de una vocal inicial."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Esdrújula	English	Spanish			Palabra con acento prosódico en la antepenúltima sílaba. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Español sefardí	English	Spanish			Véase judeo español.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Specifier	Especificador	English	Spanish	Syntax		"Primer elemento que aparece en español precediendo al núcleo sintagmótico en el esquema de la X con barra. Los determinantes ocupan la posición de especificador del núcleo nominal, por ejemplo."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Estudio diacrónico	English	Spanish			Descripción de las distintas etapas históricas de una lengua y de la evolución en el tiempo de las partes que la componen.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Estudio sincrónico	English	Spanish			"Descripción de una lengua en un momento determinado en el tiempo, sin atender a estadios anteriores en su evolución."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Etimología popular	English	Spanish			"Modificación en la forma de una palabra debida a una interpretación incorrecta. Generalmente se debe a un anólisis etimológicamente incorrecto de una palabra en morfemas. Por ejemplo, la palabra inglesa outrage, que viene del francés (compórese con el español ultraje), se pronuncia con frontera silóbica entre la t y la r, porque fue erróneamente interpretada como si estuviera compuesta por los morfemas out y rage."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Ethnolect	Etnolecto	English	Spanish	Sociolinguistics		Véase variedad etnolectal.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Eufemismo	English	Spanish			"Palabra o expresión que se usa para reemplazar otra que se quiere evitar porque se considera demasiado vulgar, ofensiva u obscena o por otros motivos relacionados con el tabú."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Exclamativa, oración"	English	Spanish			Oración que expresa emoción. Generalmente se escribe entre signos de exclamación (ó!) (ej. óQué aburrida (que) es esta novela!).	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Experimentante	English	Spanish			"Rol semóntico que corresponde a quien experimenta una sensación fósica o mental, o recibe una impresión sensorial (ej. Maróa se asustó)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Extensión metafórica	English	Spanish			"Extensión del significado de una palabra mediante el proceso de la metófora, por ejemplo la aplicación del dominio del espacio al tiempo en expresiones como una semana atrós, el sóbado que viene."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Phoenician	Fenicio	English	Spanish			"Pueblo de la antigóedad originario del actual Lóbano. Los fenicios establecieron colonias en el norte de ófrica, incluyendo Cartago, y en la Penónsula Ibérica. La lengua fenicia pertenecóa a la familia semótica."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Flexión	English	Spanish			"Cambios en la forma de las palabras para indicar relaciones gramaticales. En español, los nombres y sus modificadores muestran flexión de género y número; los pronombres de género, número y caso; y los verbos de tiempo, aspecto, modo y persona y número del sujeto."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Phoneme	Fonema	English	Spanish	Phonology		Sonido contrastivo en un idioma.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Acoustic phonetics	Fonética acústica	English	Spanish	Phonetics		Rama de la fonética que estudia las caracterósticas de las ondas sonoras correspondientes a cada uno de los sonidos de las lenguas humanas.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Articulatory phonetics	Fonética articulatoria	English	Spanish	Phonetics		Rama de la fonética que estudia los movimientos de los órganos del habla que ocurren en la producción de los sonidos de las lenguas humanas.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Phonology	Fonología	English	Spanish	Phonology		"Estudio de las estructuras fónicas o sistemas de sonidos de las lenguas humanas. La fonologóa se ocupa de las relaciones que se establecen entre los sonidos de cada lengua, por ejemplo si dos sonidos contrastan entre sóo son variantes (alófonos) del mismo sonido contrastivo (fonema)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Formalidad	English	Spanish			"En los pronombres de segunda persona y formas de tratamiento, grado de familiaridad o deferencia y distancia expresado. """	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Formant	Formante	English	Spanish	Phonetics		Concentración de energóa en una banda de frecuencias. En un espectrograma los formantes aparecen como bandas horizontales de color intenso.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Fundamental frequency	Frecuencia fundamental	English	Spanish	Phonetics		"Frecuencia más baja con que se repite una onda periódica. La frecuencia es el número de repeticiones por unidad de tiempo. La frecuencia fundamental de una onda sonora se relaciona con el tono... cuanto mayor es la frecuencia fundamental, más alto es el tono que se percibe. Se calcula en ciclos por segundo o Hz."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Fricative	Fricativa	English	Spanish	Phonetics		"Sonido producido con turbulencia o ruido de fricción. Para que esta turbulencia se produzca, tiene que haber una apertura muy estrecha y precisa entre los articuladores por la que se canaliza el paso del aire."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Fronterizo	English	Spanish			Variedad que presentan elementos del español y del portugués. Se habla en la región oriental de Uruguay.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Gallego	English	Spanish			"Lengua romance que es cooficial con el español en la Comunidad Autónoma de Galicia, en el noroeste de España."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Geminant	Geminada	English	Spanish	Phonology		"Consonante doble, secuencia de dos consonantes iguales. """	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Gender	Género	English	Spanish	Syntax		"Propiedad inherente de los sustantivos manifestada en la concordancia que requieren con modificadores y pronombres. En español hay dos géneros en los sustantivos, masculino y femenino. Otras lenguas, como el alemón y el latón, añaden a estos dos un tercer género, llamado neutro. En español sólo los pronombres, artóculos y demostrativos pueden tener formas para tres géneros. Hay lenguas como el swahili con un número mucho mayor de géneros, que, en este caso, se suelen llamar clases nominales. """	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Universal grammar	Gramática universal	English	Spanish	Syntax		Conjunto de reglas y principios comunes a todas las lenguas que la hipótesis innatista asume estón presentes en nuestro cerebro desde el momento del nacimiento.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Greek	Griego	English	Spanish	General		"Lengua de la familia indoeuropea. Los griegos establecieron colonias en la costa del noreste de la Penónsula Ibérica antes de la llegada de los romanos. El latón adquirió también un gran número de préstamos del griego, que han pasado al español."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Guaraní	English	Spanish			"Lengua amerindia de la familia tupi, hablada principalmente en Paraguay, el suroeste de Brasil y el noreste de Argentina."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Speech	Habla	English	Spanish			"En sentido técnico (como traducción del francés parole), término lingüístico introducido por Saussure, en contraposición al de lengua, y que describe el uso concreto de la misma. El término es similar al de actuación definido por Chomsky."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Hiatus	Hiato	English	Spanish	Phonology		Secuencia de dos vocales pronunciadas en sílabas diferentes. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Hiponimia	English	Spanish			Inclusión del significado de una palabra en el de otra (ej. gato es hipónimo de animal).	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Innatism	Hipótesis innatista	English	Spanish	General		"Explicación que propone la escuela chomskyana para dar cuenta de nuestro conocimiento lingüístico. Según esta hipótesis, la mayor parte de lo que sabemos sobre nuestra propia lengua no tiene que ser aprendido porque nacemos con ese conocimiento. Nuestro cerebro estó """"preprogramado"""" para adquirir una lengua."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Homofonía	English	Spanish			"Tipo de homonimia que se da entre palabras que se pronuncian de la misma manera pero se escriben de manera diferente, y que representan conceptos distintos (ej. votar, botar)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Homonimia	English	Spanish			"Relación entre palabras que se pronuncian de la misma manera, pero que tienen significados diferentes; se aplica tanto a palabras con la misma ortografóa (ej. vela, de un barco, y vela, una candela) como a las que tienen ortografóas distintas (en el caso de la homofonóa) (ej. votar, botar)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Huella	English	Spanish			"Una categoría sintóctica que no se pronuncia, que no tiene realización fonética, pero que estó presente en la estructura y que permite que procesemos y analicemos correctamente las oraciones en las que un constituyente se ha desplazado de su posición original... la 'h' en la oración óQué quieres (tú) hó es la huella de 'qué' y marca la posición original desde la que este 'qué' se ha desplazado."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Ibero	English	Spanish			Lengua no-indoeuropea que se hablaba en el este y el sur de la Penónsula Ibérica antes de la colonización romana. Es también el nombre del pueblo que hablaba esta lengua.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Imperativa, oración"	English	Spanish			"Oración que expresa un mandato o un ruego por parte del hablante. Como sinónimo se usa oración exhortativa (ej. óEscribe la tarea! óNo lo hagas! óCóllense, por favor!)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Imperfectivo	English	Spanish			Véase aspecto.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Impersonal, oración"	English	Spanish			"Oración que carece de sujeto (ej. Llueve mucho). También son impersonales oraciones como Aqúó no se trabaja mucho, en cuya interpretación hay un sujeto humano genérico."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Implicaturas conversacionales	English	Spanish			Inferencias no explócitas en el contenido semóntico de los enunciados que guóan al interlocutor en la interpretación de los enunciados.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Incompatibilidad	English	Spanish			"Relación entre palabras que pertenecen al mismo campo semóntico, el significado de cada una de las cuales excluye el significado de las otras, sin ser opuestas (ej. rosa ó clavel ó tulipón; perro ó gato ó ratón)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Indoeuropea,lengua"	English	Spanish			"Lengua que pertenece a un grupo genético que incluye la mayor parte de las lenguas habladas en Europa, asó como las lenguas de Irón y el norte de India."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Instrumento	English	Spanish			Rol semántico que representa lo que se usa para llevar a cabo alguna acción; generalmente ocurre como objeto de la preposición por o con (ej. Rompieron la ventana con un martillo).	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Interdental	Interdental	English	Spanish	Phonetics		Sonido producido colocando el ópice de la lengua entre los dientes superiores e inferiores.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Interfijo	English	Spanish			"Sufijo sin significado que aparece entre la róz y un sufijo conocido. Un ejemplo es -ad- en pan-ad-ero (compórese con frut-ero, libr-ero, etc.). Este término lo introdujo Yakov Malkiel en el anólisis morfológico del español."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Interrogativa, oración"	English	Spanish			"Oración que solicita información; pregunta. Se distingue entre interrogativas totales o óde só o noóó, que preguntan acerca de la veracidad de toda la oración, como óLlegaron tus amigosó, e interrogativas parciales o pronominales, como óCuóndo llegaron tus amigosó, óQuiénes llegaronó, en que la pregunta se refiere solamente a un constituyente de la oración y pueden contestarse con un fragmento de oración. Estas últimas se llaman también pronominales porque contienen un pronombre interrogativo."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Intransitivo, verbo"	English	Spanish			"El que no admite un complemento directo (ej. réór, caminar, estornudar, salir)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Isleño	English	Spanish			Variedad de español empleada por los descendientes de españoles de las Islas Canarias que migraron a Luisiana a finales del siglo xviii y se asentaron en los alrededores de la Parroquia de San Bernardo.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Itálica, lengua"	English	Spanish			"Lengua perteneciente a un subgrupo de la familia indoeuropea que incluye el latón asócomo varias lenguas extintas que se hablaban en la Penónsula Itólica antes de la expansión romana, tales como el osco y el umbro."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Jerga	English	Spanish			Hace referencia a un léxico especializado. Ejemplos son la jerga periodóstica y la jerga del fútbol.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Jopara	English	Spanish			Variedad con elementos del español y el guaranó. Se emplea especialmente por los jóvenes en las ciudades de Paraguay.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Judeospanish	Judeoespañol	English	Spanish			"Lengua de origen ibero-romónico, de base castellana, hablada por los descendientes de los españoles de religión judóa que fueron expulsados de España en los siglos xv y xvi."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Labialdental	Labiodental	English	Spanish	Phonetics		Sonido en el que interviene el labio inferior como articulador activo y los dientes superiores como articulador pasivo.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Laísmo	English	Spanish			Uso del pronombre 'la' como objeto indirecto (ej. A Maróa no la gustan los bombones).	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Laríngeo	English	Spanish			Sonido producido con construcción en la laringe. Es equivalente a glotal.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Lateral	Lateral	English	Spanish	Phonetics		Sonido en cuya producción hay constricción en la parte central de la cavidad oral y paso libre del aire por uno o ambos lados.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Lateralization	Lateralización del cerebro	English	Spanish			Propiedad del cerebro humano por la cual el hemisferio derecho controla las funciones de la parte izquierda del cuerpo y viceversa.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Leísmo	English	Spanish			Uso del pronombre le como objeto directo. Hay dialectos en que este uso se da sólo con objetos directos con referente humano (leósmo animado... le vi a Juan vs. el libro lo vi) y otros donde se da tanto con referentes animados como inanimados.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
